Entity,Year,Schizophrenia,Depressive,Anxiety,Bipolar,Eating
Asia (IHME GBD),1991,0.2905116,3.321691,3.3478365,0.32357454,0.09908986
Asia (IHME GBD),1992,0.29057193,3.3664382,3.3406231,0.32378694,0.099539444
Asia (IHME GBD),1993,0.29059973,3.4001524,3.3337855,0.32399684,0.09998004
Asia (IHME GBD),1994,0.29059425,3.42096,3.3274221,0.32416108,0.100391895
Asia (IHME GBD),1995,0.29053807,3.4272394,3.3218856,0.32438308,0.10085547
Asia (IHME GBD),1996,0.29040766,3.4176211,3.3172653,0.32457834,0.10141834
Asia (IHME GBD),1997,0.2902362,3.3957071,3.3130593,0.32477137,0.10197759
Asia (IHME GBD),1998,0.29006183,3.3695788,3.3090923,0.3249202,0.10258859
Asia (IHME GBD),1999,0.28991294,3.3468337,3.3048916,0.32503027,0.10326412
Asia (IHME GBD),2000,0.2898128,3.3356757,3.2998652,0.32521573,0.1039682
Asia (IHME GBD),2001,0.28976345,3.339311,3.2848222,0.3255319,0.10489109
Asia (IHME GBD),2002,0.2897518,3.3510268,3.2568078,0.32608464,0.10606289
Asia (IHME GBD),2003,0.28976786,3.3657982,3.2248578,0.32670823,0.107393466
Asia (IHME GBD),2004,0.28979507,3.3779595,3.1978812,0.3273246,0.108795986
Asia (IHME GBD),2005,0.28981602,3.382033,3.1849494,0.32787827,0.11026574
Asia (IHME GBD),2006,0.28989854,3.3566835,3.1909444,0.32829535,0.11178412
Asia (IHME GBD),2007,0.29006857,3.298219,3.2096946,0.32874402,0.11367872
Asia (IHME GBD),2008,0.2902602,3.2290518,3.2336378,0.3292686,0.115696676
Asia (IHME GBD),2009,0.29041606,3.1716802,3.2546694,0.32983452,0.11776006
Asia (IHME GBD),2010,0.29049417,3.1479168,3.2643657,0.33044228,0.11971668
Asia (IHME GBD),2011,0.29062065,3.1519988,3.261816,0.33107898,0.12167905
Asia (IHME GBD),2012,0.2908952,3.1608655,3.254212,0.33168805,0.1237254
Asia (IHME GBD),2013,0.29123524,3.1719203,3.245807,0.3322587,0.1258007
Asia (IHME GBD),2014,0.29155102,3.1829913,3.240573,0.3328356,0.12803893
Asia (IHME GBD),2015,0.29174533,3.1914704,3.2424552,0.33349207,0.13029866
Asia (IHME GBD),2016,0.29312426,3.1956189,3.2646673,0.33420235,0.13334852
Asia (IHME GBD),2017,0.2943791,3.1990314,3.2872593,0.33492965,0.13594061
Asia (IHME GBD),2018,0.29398188,3.2001421,3.282474,0.3356867,0.13751562
Asia (IHME GBD),2019,0.29303145,3.1961586,3.258719,0.3365103,0.13872583
Europe (IHME GBD),1990,0.27685905,3.6706705,4.4007916,0.72438604,0.27100173
Europe (IHME GBD),1991,0.27659193,3.6603432,4.395434,0.7242674,0.27101284
Europe (IHME GBD),1992,0.2763143,3.6508627,4.389711,0.7241101,0.27098155
Europe (IHME GBD),1993,0.27607065,3.64237,4.3835554,0.7239516,0.27085727
Europe (IHME GBD),1994,0.27586713,3.6357381,4.377351,0.723963,0.27060118
Europe (IHME GBD),1995,0.27570406,3.6312757,4.371487,0.72416955,0.27028146
Europe (IHME GBD),1996,0.2755336,3.6301,4.365066,0.7243301,0.2701512
Europe (IHME GBD),1997,0.2753299,3.6328275,4.3588343,0.72430784,0.270195
Europe (IHME GBD),1998,0.2751404,3.6362674,4.3541346,0.72426015,0.27049145
Europe (IHME GBD),1999,0.27500188,3.6385713,4.3516507,0.7243655,0.2713072
Europe (IHME GBD),2000,0.27495095,3.6370144,4.3523316,0.7246847,0.27241546
Europe (IHME GBD),2001,0.27496648,3.6287568,4.356478,0.72536767,0.2742558
Europe (IHME GBD),2002,0.27500916,3.6149921,4.363762,0.7263846,0.27682054
Europe (IHME GBD),2003,0.27507806,3.598339,4.373546,0.7276744,0.27977535
Europe (IHME GBD),2004,0.27516884,3.5820675,4.3851075,0.72904205,0.2828641
Europe (IHME GBD),2005,0.27527392,3.5691898,4.397513,0.73022175,0.28556597
Europe (IHME GBD),2006,0.27542916,3.5610254,4.4180555,0.7311914,0.2884975
Europe (IHME GBD),2007,0.2756484,3.5559568,4.449878,0.7321368,0.2919832
Europe (IHME GBD),2008,0.2758889,3.5542705,4.485411,0.7331915,0.29577044
Europe (IHME GBD),2009,0.27611682,3.553865,4.517135,0.734295,0.29929963
Europe (IHME GBD),2010,0.27629328,3.5533965,4.5371704,0.73542315,0.3022481
Europe (IHME GBD),2011,0.2765488,3.5526135,4.550123,0.7365389,0.30488577
Europe (IHME GBD),2012,0.27695933,3.5508556,4.564322,0.73754376,0.30720708
Europe (IHME GBD),2013,0.2774068,3.5482662,4.57789,0.7385037,0.30952078
Europe (IHME GBD),2014,0.27778283,3.546718,4.5892353,0.73946935,0.31171626
Europe (IHME GBD),2015,0.27797478,3.546587,4.596085,0.7404078,0.3140306
Europe (IHME GBD),2016,0.27807897,3.5427897,4.5913353,0.7412512,0.31757072
Europe (IHME GBD),2017,0.2781013,3.5371735,4.5844975,0.7418994,0.32058457
Europe (IHME GBD),2018,0.27734905,3.5381575,4.577611,0.7423811,0.3225034
Europe (IHME GBD),2019,0.2757307,3.5443268,4.5646415,0.7428389,0.32406414
