Unnamed: 0,Year,Disorder,DALYs,Region,Source
36,1996,Schizophrenia,136.65489337209306,African Region,Average
37,1997,Schizophrenia,136.6066626976744,African Region,Average
38,1998,Schizophrenia,136.52200962790698,African Region,Average
39,1999,Schizophrenia,136.4730926744186,African Region,Average
40,2000,Schizophrenia,136.47969651162788,African Region,Average
41,2001,Schizophrenia,136.6107976744186,African Region,Average
42,2002,Schizophrenia,136.82344153488373,African Region,Average
43,2003,Schizophrenia,137.09326339534886,African Region,Average
44,2004,Schizophrenia,137.34586697674416,African Region,Average
45,2005,Schizophrenia,137.51439872093022,African Region,Average
46,2006,Schizophrenia,137.59655055813954,African Region,Average
47,2007,Schizophrenia,137.66087453488376,African Region,Average
48,2008,Schizophrenia,137.737598,African Region,Average
49,2009,Schizophrenia,137.78415079069768,African Region,Average
50,2010,Schizophrenia,137.89527174418606,African Region,Average
51,2011,Schizophrenia,137.99962372093023,African Region,Average
52,2012,Schizophrenia,138.1498254651163,African Region,Average
53,2013,Schizophrenia,138.3552476744186,African Region,Average
54,2014,Schizophrenia,138.56543672093022,African Region,Average
55,2015,Schizophrenia,138.63735781395349,African Region,Average
56,2016,Schizophrenia,138.75255369767444,African Region,Average
57,2017,Schizophrenia,138.88863476744183,African Region,Average
58,2018,Schizophrenia,139.07726488372091,African Region,Average
59,2019,Schizophrenia,139.3621241860465,African Region,Average
60,1990,Bipolar disorder,118.692443,African Region,Average
61,1991,Bipolar disorder,118.64597032558142,African Region,Average
62,1992,Bipolar disorder,118.64169472093026,African Region,Average
63,1993,Bipolar disorder,118.64310802325583,African Region,Average
64,1994,Bipolar disorder,118.60023820930232,African Region,Average
65,1995,Bipolar disorder,118.54624462790696,African Region,Average
66,1996,Bipolar disorder,118.50864255813951,African Region,Average
67,1997,Bipolar disorder,118.4703038139535,African Region,Average
68,1998,Bipolar disorder,118.49104474418606,African Region,Average
69,1999,Bipolar disorder,118.45814400000005,African Region,Average
70,2000,Bipolar disorder,118.47247788372096,African Region,Average
71,2001,Bipolar disorder,118.47452639534886,African Region,Average
72,2002,Bipolar disorder,118.50598872093023,African Region,Average
73,2003,Bipolar disorder,118.52045260465115,African Region,Average
74,2004,Bipolar disorder,118.57040576744186,African Region,Average
75,2005,Bipolar disorder,118.61901409302328,African Region,Average
76,2006,Bipolar disorder,118.65335932558142,African Region,Average
77,2007,Bipolar disorder,118.7291123255814,African Region,Average
78,2008,Bipolar disorder,118.82295488372093,African Region,Average
79,2009,Bipolar disorder,118.88343381395347,African Region,Average
80,2010,Bipolar disorder,118.95821237209306,African Region,Average
81,2011,Bipolar disorder,118.95549037209302,African Region,Average
82,2012,Bipolar disorder,118.9969265116279,African Region,Average
83,2013,Bipolar disorder,119.00605962790698,African Region,Average
84,2014,Bipolar disorder,119.02177946511628,African Region,Average
85,2015,Bipolar disorder,119.05168413953488,African Region,Average
86,2016,Bipolar disorder,119.0417543023256,African Region,Average
87,2017,Bipolar disorder,119.07228658139532,African Region,Average
88,2018,Bipolar disorder,119.10198660465116,African Region,Average
89,2019,Bipolar disorder,119.10720262790696,African Region,Average
90,1990,Eating disorders,21.212468232558138,African Region,Average
91,1991,Eating disorders,21.140259744186043,African Region,Average
92,1992,Eating disorders,21.07438211627907,African Region,Average
93,1993,Eating disorders,21.016365046511627,African Region,Average
94,1994,Eating disorders,20.97697353488372,African Region,Average
95,1995,Eating disorders,20.938247604651167,African Region,Average
96,1996,Eating disorders,20.91526327906977,African Region,Average
97,1997,Eating disorders,20.91125572093023,African Region,Average
98,1998,Eating disorders,20.90668616279069,African Region,Average
99,1999,Eating disorders,20.928599674418606,African Region,Average
100,2000,Eating disorders,20.979044488372093,African Region,Average
101,2001,Eating disorders,21.07965241860465,African Region,Average
102,2002,Eating disorders,21.21646813953489,African Region,Average
103,2003,Eating disorders,21.391998441860466,African Region,Average
104,2004,Eating disorders,21.567009546511628,African Region,Average
105,2005,Eating disorders,21.70749481395349,African Region,Average
106,2006,Eating disorders,21.845770325581395,African Region,Average
107,2007,Eating disorders,22.014654000000004,African Region,Average
108,2008,Eating disorders,22.18358173255814,African Region,Average
109,2009,Eating disorders,22.335741325581395,African Region,Average
110,2010,Eating disorders,22.50781760465117,African Region,Average
111,2011,Eating disorders,22.689980325581395,African Region,Average
112,2012,Eating disorders,22.93337991860465,African Region,Average
113,2013,Eating disorders,23.180096906976747,African Region,Average
114,2014,Eating disorders,23.40871160465116,African Region,Average
115,2015,Eating disorders,23.61545858139535,African Region,Average
116,2016,Eating disorders,23.85456681395349,African Region,Average
117,2017,Eating disorders,24.02140304651163,African Region,Average
118,2018,Eating disorders,24.117088011627903,African Region,Average
119,2019,Eating disorders,24.16730623255814,African Region,Average
120,1990,Anxiety disorders,332.79553883720934,African Region,Average
121,1991,Anxiety disorders,332.70618697674416,African Region,Average
122,1992,Anxiety disorders,332.6817967441861,African Region,Average
123,1993,Anxiety disorders,332.6378976744186,African Region,Average
124,1994,Anxiety disorders,332.58865209302326,African Region,Average
125,1995,Anxiety disorders,332.60346325581395,African Region,Average
126,1996,Anxiety disorders,332.6298920930233,African Region,Average
127,1997,Anxiety disorders,332.7360686046512,African Region,Average
128,1998,Anxiety disorders,332.8603062790698,African Region,Average
129,1999,Anxiety disorders,333.08382,African Region,Average
130,2000,Anxiety disorders,333.1510513953489,African Region,Average
131,2001,Anxiety disorders,333.15140302325574,African Region,Average
132,2002,Anxiety disorders,333.2061220930232,African Region,Average
133,2003,Anxiety disorders,333.2567886046511,African Region,Average
134,2004,Anxiety disorders,333.3088086046511,African Region,Average
135,2005,Anxiety disorders,333.39574767441866,African Region,Average
136,2006,Anxiety disorders,333.618521627907,African Region,Average
137,2007,Anxiety disorders,333.9373058139535,African Region,Average
138,2008,Anxiety disorders,334.3493288372092,African Region,Average
139,2009,Anxiety disorders,334.753981627907,African Region,Average
140,2010,Anxiety disorders,335.1248439534884,African Region,Average
141,2011,Anxiety disorders,335.7050348837209,African Region,Average
142,2012,Anxiety disorders,336.64357767441857,African Region,Average
143,2013,Anxiety disorders,337.7621579069768,African Region,Average
144,2014,Anxiety disorders,338.8131713953488,African Region,Average
145,2015,Anxiety disorders,339.6526825581396,African Region,Average
146,2016,Anxiety disorders,340.63609,African Region,Average
147,2017,Anxiety disorders,341.4821655813953,African Region,Average
148,2018,Anxiety disorders,341.27394744186057,African Region,Average
149,2019,Anxiety disorders,340.51376511627905,African Region,Average
0,1990,Depressive disorders,787.4893315,Eastern Mediterranean Region,Average
1,1991,Depressive disorders,787.7754714999999,Eastern Mediterranean Region,Average
2,1992,Depressive disorders,788.048219,Eastern Mediterranean Region,Average
3,1993,Depressive disorders,788.3830745,Eastern Mediterranean Region,Average
4,1994,Depressive disorders,788.8909395,Eastern Mediterranean Region,Average
5,1995,Depressive disorders,789.4559865,Eastern Mediterranean Region,Average
6,1996,Depressive disorders,789.6811425,Eastern Mediterranean Region,Average
7,1997,Depressive disorders,789.5302604999999,Eastern Mediterranean Region,Average
8,1998,Depressive disorders,789.3415765,Eastern Mediterranean Region,Average
9,1999,Depressive disorders,789.1354535,Eastern Mediterranean Region,Average
10,2000,Depressive disorders,789.131258,Eastern Mediterranean Region,Average
11,2001,Depressive disorders,788.8503275,Eastern Mediterranean Region,Average
12,2002,Depressive disorders,787.998336,Eastern Mediterranean Region,Average
13,2003,Depressive disorders,786.8866734999999,Eastern Mediterranean Region,Average
14,2004,Depressive disorders,785.593624,Eastern Mediterranean Region,Average
15,2005,Depressive disorders,784.1012435,Eastern Mediterranean Region,Average
16,2006,Depressive disorders,781.79225,Eastern Mediterranean Region,Average
17,2007,Depressive disorders,778.472086,Eastern Mediterranean Region,Average
18,2008,Depressive disorders,775.0167869999999,Eastern Mediterranean Region,Average
19,2009,Depressive disorders,772.064996,Eastern Mediterranean Region,Average
20,2010,Depressive disorders,770.253204,Eastern Mediterranean Region,Average
21,2011,Depressive disorders,770.0287955,Eastern Mediterranean Region,Average
22,2012,Depressive disorders,771.4068494999999,Eastern Mediterranean Region,Average
23,2013,Depressive disorders,773.4849004999999,Eastern Mediterranean Region,Average
24,2014,Depressive disorders,775.464029,Eastern Mediterranean Region,Average
25,2015,Depressive disorders,776.155222,Eastern Mediterranean Region,Average
26,2016,Depressive disorders,774.7626634999999,Eastern Mediterranean Region,Average
27,2017,Depressive disorders,773.4647759999999,Eastern Mediterranean Region,Average
28,2018,Depressive disorders,774.92069,Eastern Mediterranean Region,Average
29,2019,Depressive disorders,778.5208964999999,Eastern Mediterranean Region,Average
30,1990,Schizophrenia,160.93594075,Eastern Mediterranean Region,Average
31,1991,Schizophrenia,160.823906,Eastern Mediterranean Region,Average
32,1992,Schizophrenia,160.59681500000002,Eastern Mediterranean Region,Average
33,1993,Schizophrenia,160.46009,Eastern Mediterranean Region,Average
34,1994,Schizophrenia,160.367525,Eastern Mediterranean Region,Average
35,1995,Schizophrenia,160.25509030000003,Eastern Mediterranean Region,Average
36,1996,Schizophrenia,160.32097900000002,Eastern Mediterranean Region,Average
37,1997,Schizophrenia,160.2849115,Eastern Mediterranean Region,Average
38,1998,Schizophrenia,160.2821005,Eastern Mediterranean Region,Average
39,1999,Schizophrenia,160.30489799999998,Eastern Mediterranean Region,Average
40,2000,Schizophrenia,160.208928,Eastern Mediterranean Region,Average
41,2001,Schizophrenia,160.16932300000002,Eastern Mediterranean Region,Average
42,2002,Schizophrenia,160.20269725000003,Eastern Mediterranean Region,Average
43,2003,Schizophrenia,160.018228,Eastern Mediterranean Region,Average
44,2004,Schizophrenia,160.03650720000002,Eastern Mediterranean Region,Average
45,2005,Schizophrenia,159.99712825,Eastern Mediterranean Region,Average
46,2006,Schizophrenia,159.990842,Eastern Mediterranean Region,Average
47,2007,Schizophrenia,159.9643345,Eastern Mediterranean Region,Average
48,2008,Schizophrenia,159.97297100000003,Eastern Mediterranean Region,Average
49,2009,Schizophrenia,159.956165,Eastern Mediterranean Region,Average
50,2010,Schizophrenia,159.9390855,Eastern Mediterranean Region,Average
51,2011,Schizophrenia,159.9189695,Eastern Mediterranean Region,Average
52,2012,Schizophrenia,159.914572,Eastern Mediterranean Region,Average
53,2013,Schizophrenia,159.84829050000002,Eastern Mediterranean Region,Average
54,2014,Schizophrenia,159.817426,Eastern Mediterranean Region,Average
55,2015,Schizophrenia,159.739064,Eastern Mediterranean Region,Average
56,2016,Schizophrenia,159.67680699999997,Eastern Mediterranean Region,Average
57,2017,Schizophrenia,159.563886,Eastern Mediterranean Region,Average
58,2018,Schizophrenia,159.42378200000002,Eastern Mediterranean Region,Average
59,2019,Schizophrenia,159.27473725,Eastern Mediterranean Region,Average
60,1990,Bipolar disorder,156.0421425,Eastern Mediterranean Region,Average
61,1991,Bipolar disorder,156.04474,Eastern Mediterranean Region,Average
62,1992,Bipolar disorder,156.0224193,Eastern Mediterranean Region,Average
63,1993,Bipolar disorder,155.97399330000002,Eastern Mediterranean Region,Average
64,1994,Bipolar disorder,155.982359,Eastern Mediterranean Region,Average
65,1995,Bipolar disorder,156.0473262,Eastern Mediterranean Region,Average
66,1996,Bipolar disorder,156.0204983,Eastern Mediterranean Region,Average
67,1997,Bipolar disorder,156.0649315,Eastern Mediterranean Region,Average
68,1998,Bipolar disorder,156.0780315,Eastern Mediterranean Region,Average
69,1999,Bipolar disorder,156.0843435,Eastern Mediterranean Region,Average
70,2000,Bipolar disorder,156.1305645,Eastern Mediterranean Region,Average
71,2001,Bipolar disorder,156.18466325,Eastern Mediterranean Region,Average
72,2002,Bipolar disorder,156.2028495,Eastern Mediterranean Region,Average
73,2003,Bipolar disorder,156.1575852,Eastern Mediterranean Region,Average
74,2004,Bipolar disorder,156.2070805,Eastern Mediterranean Region,Average
75,2005,Bipolar disorder,156.1883433,Eastern Mediterranean Region,Average
76,2006,Bipolar disorder,156.1669413,Eastern Mediterranean Region,Average
77,2007,Bipolar disorder,156.0571235,Eastern Mediterranean Region,Average
78,2008,Bipolar disorder,156.04191070000005,Eastern Mediterranean Region,Average
79,2009,Bipolar disorder,156.01302399999997,Eastern Mediterranean Region,Average
80,2010,Bipolar disorder,156.00126375,Eastern Mediterranean Region,Average
81,2011,Bipolar disorder,155.9883067,Eastern Mediterranean Region,Average
82,2012,Bipolar disorder,155.96691800000002,Eastern Mediterranean Region,Average
83,2013,Bipolar disorder,155.96516400000002,Eastern Mediterranean Region,Average
84,2014,Bipolar disorder,156.0108205,Eastern Mediterranean Region,Average
85,2015,Bipolar disorder,156.02324600000003,Eastern Mediterranean Region,Average
86,2016,Bipolar disorder,156.0199407,Eastern Mediterranean Region,Average
87,2017,Bipolar disorder,156.06654699999996,Eastern Mediterranean Region,Average
88,2018,Bipolar disorder,156.05219549999998,Eastern Mediterranean Region,Average
89,2019,Bipolar disorder,156.0356413,Eastern Mediterranean Region,Average
90,1990,Eating disorders,40.26377405000001,Eastern Mediterranean Region,Average
91,1991,Eating disorders,40.00977590000001,Eastern Mediterranean Region,Average
92,1992,Eating disorders,39.79596705,Eastern Mediterranean Region,Average
93,1993,Eating disorders,39.64785495,Eastern Mediterranean Region,Average
94,1994,Eating disorders,39.5715592,Eastern Mediterranean Region,Average
95,1995,Eating disorders,39.54753575,Eastern Mediterranean Region,Average
96,1996,Eating disorders,39.574460300000005,Eastern Mediterranean Region,Average
97,1997,Eating disorders,39.64459185,Eastern Mediterranean Region,Average
98,1998,Eating disorders,39.7767505,Eastern Mediterranean Region,Average
99,1999,Eating disorders,39.9177917,Eastern Mediterranean Region,Average
100,2000,Eating disorders,40.07212035,Eastern Mediterranean Region,Average
101,2001,Eating disorders,40.2677282,Eastern Mediterranean Region,Average
102,2002,Eating disorders,40.48151360000001,Eastern Mediterranean Region,Average
103,2003,Eating disorders,40.6877502,Eastern Mediterranean Region,Average
104,2004,Eating disorders,40.9347571,Eastern Mediterranean Region,Average
105,2005,Eating disorders,41.1548952,Eastern Mediterranean Region,Average
106,2006,Eating disorders,41.33328005,Eastern Mediterranean Region,Average
107,2007,Eating disorders,41.55611935,Eastern Mediterranean Region,Average
108,2008,Eating disorders,41.79434809999999,Eastern Mediterranean Region,Average
109,2009,Eating disorders,42.06505145,Eastern Mediterranean Region,Average
110,2010,Eating disorders,42.2697689,Eastern Mediterranean Region,Average
111,2011,Eating disorders,42.407021150000006,Eastern Mediterranean Region,Average
112,2012,Eating disorders,42.58228967500001,Eastern Mediterranean Region,Average
113,2013,Eating disorders,42.74069475,Eastern Mediterranean Region,Average
114,2014,Eating disorders,42.92266075,Eastern Mediterranean Region,Average
115,2015,Eating disorders,43.09320365,Eastern Mediterranean Region,Average
116,2016,Eating disorders,43.2370562,Eastern Mediterranean Region,Average
117,2017,Eating disorders,43.3242109,Eastern Mediterranean Region,Average
118,2018,Eating disorders,43.3323504,Eastern Mediterranean Region,Average
119,2019,Eating disorders,43.3086186,Eastern Mediterranean Region,Average
120,1990,Anxiety disorders,434.22367,Eastern Mediterranean Region,Average
121,1991,Anxiety disorders,434.337209,Eastern Mediterranean Region,Average
122,1992,Anxiety disorders,434.3605505,Eastern Mediterranean Region,Average
123,1993,Anxiety disorders,434.5536805,Eastern Mediterranean Region,Average
124,1994,Anxiety disorders,434.7870180000001,Eastern Mediterranean Region,Average
125,1995,Anxiety disorders,435.06104750000014,Eastern Mediterranean Region,Average
126,1996,Anxiety disorders,434.8015415000001,Eastern Mediterranean Region,Average
127,1997,Anxiety disorders,434.1253115,Eastern Mediterranean Region,Average
128,1998,Anxiety disorders,433.4689205,Eastern Mediterranean Region,Average
129,1999,Anxiety disorders,433.0003235,Eastern Mediterranean Region,Average
130,2000,Anxiety disorders,432.942847,Eastern Mediterranean Region,Average
131,2001,Anxiety disorders,433.0819460000001,Eastern Mediterranean Region,Average
132,2002,Anxiety disorders,433.1891835,Eastern Mediterranean Region,Average
133,2003,Anxiety disorders,433.2652435,Eastern Mediterranean Region,Average
134,2004,Anxiety disorders,433.448345,Eastern Mediterranean Region,Average
135,2005,Anxiety disorders,433.673935,Eastern Mediterranean Region,Average
136,2006,Anxiety disorders,434.3742515,Eastern Mediterranean Region,Average
137,2007,Anxiety disorders,435.916781,Eastern Mediterranean Region,Average
138,2008,Anxiety disorders,437.988247,Eastern Mediterranean Region,Average
139,2009,Anxiety disorders,440.000745,Eastern Mediterranean Region,Average
140,2010,Anxiety disorders,441.1701405,Eastern Mediterranean Region,Average
141,2011,Anxiety disorders,441.916172,Eastern Mediterranean Region,Average
142,2012,Anxiety disorders,443.3022295,Eastern Mediterranean Region,Average
143,2013,Anxiety disorders,445.1149214999999,Eastern Mediterranean Region,Average
144,2014,Anxiety disorders,446.796357,Eastern Mediterranean Region,Average
145,2015,Anxiety disorders,447.778115,Eastern Mediterranean Region,Average
146,2016,Anxiety disorders,447.1871265,Eastern Mediterranean Region,Average
147,2017,Anxiety disorders,446.531841,Eastern Mediterranean Region,Average
148,2018,Anxiety disorders,446.7284354999999,Eastern Mediterranean Region,Average
149,2019,Anxiety disorders,447.2984845000001,Eastern Mediterranean Region,Average
0,1990,Depressive disorders,632.9080263461539,European Region,Average
1,1991,Depressive disorders,630.8110121153846,European Region,Average
2,1992,Depressive disorders,628.9196751923076,European Region,Average
3,1993,Depressive disorders,627.2039651923077,European Region,Average
4,1994,Depressive disorders,625.7415598076923,European Region,Average
5,1995,Depressive disorders,624.6072298076923,European Region,Average
6,1996,Depressive disorders,624.1531325,European Region,Average
7,1997,Depressive disorders,624.5504905769232,European Region,Average
8,1998,Depressive disorders,625.0464048076924,European Region,Average
9,1999,Depressive disorders,625.1285811538462,European Region,Average
10,2000,Depressive disorders,624.1287211538461,European Region,Average
11,2001,Depressive disorders,621.1064861538463,European Region,Average
12,2002,Depressive disorders,616.2998207692308,European Region,Average
13,2003,Depressive disorders,610.7615026923078,European Region,Average
14,2004,Depressive disorders,605.5425676923077,European Region,Average
15,2005,Depressive disorders,601.8585934615385,European Region,Average
16,2006,Depressive disorders,599.2208148076924,European Region,Average
17,2007,Depressive disorders,596.5966799999999,European Region,Average
18,2008,Depressive disorders,594.2760103846153,European Region,Average
19,2009,Depressive disorders,592.2522886538461,European Region,Average
20,2010,Depressive disorders,590.639565,European Region,Average
21,2011,Depressive disorders,588.8149859615386,European Region,Average
22,2012,Depressive disorders,586.064699423077,European Region,Average
23,2013,Depressive disorders,583.1627251923078,European Region,Average
24,2014,Depressive disorders,580.8060624999999,European Region,Average
25,2015,Depressive disorders,579.7036653846154,European Region,Average
26,2016,Depressive disorders,580.3860532692307,European Region,Average
27,2017,Depressive disorders,581.3578423076923,European Region,Average
28,2018,Depressive disorders,582.5187063461539,European Region,Average
29,2019,Depressive disorders,584.6880284615385,European Region,Average
30,1990,Schizophrenia,179.47146634615385,European Region,Average
31,1991,Schizophrenia,179.2063005769231,European Region,Average
32,1992,Schizophrenia,179.02685288461538,European Region,Average
33,1993,Schizophrenia,178.88471211538462,European Region,Average
34,1994,Schizophrenia,178.71898750000005,European Region,Average
35,1995,Schizophrenia,178.66638980769227,European Region,Average
36,1996,Schizophrenia,178.60420942307695,European Region,Average
37,1997,Schizophrenia,178.56792403846154,European Region,Average
38,1998,Schizophrenia,178.58329211538464,European Region,Average
39,1999,Schizophrenia,178.59957192307695,European Region,Average
40,2000,Schizophrenia,178.62659615384615,European Region,Average
41,2001,Schizophrenia,178.69654288461535,European Region,Average
42,2002,Schizophrenia,178.81397884615387,European Region,Average
43,2003,Schizophrenia,178.91536326923077,European Region,Average
44,2004,Schizophrenia,179.07953269230768,European Region,Average
45,2005,Schizophrenia,179.16141307692308,European Region,Average
46,2006,Schizophrenia,179.35858269230766,European Region,Average
47,2007,Schizophrenia,179.59927192307694,European Region,Average
48,2008,Schizophrenia,179.8824892307692,European Region,Average
49,2009,Schizophrenia,180.1506401923077,European Region,Average
50,2010,Schizophrenia,180.3270496153846,European Region,Average
51,2011,Schizophrenia,180.48121576923077,European Region,Average
52,2012,Schizophrenia,180.76028634615383,European Region,Average
53,2013,Schizophrenia,181.01002980769232,European Region,Average
54,2014,Schizophrenia,181.23010769230768,European Region,Average
55,2015,Schizophrenia,181.37364711538464,European Region,Average
56,2016,Schizophrenia,181.46644423076924,European Region,Average
57,2017,Schizophrenia,181.5820244230769,European Region,Average
58,2018,Schizophrenia,181.2417959615385,European Region,Average
59,2019,Schizophrenia,180.56034423076923,European Region,Average
60,1990,Bipolar disorder,153.3974677692308,European Region,Average
61,1991,Bipolar disorder,153.4201723846154,European Region,Average
62,1992,Bipolar disorder,153.40839067307692,European Region,Average
63,1993,Bipolar disorder,153.41194784615385,European Region,Average
64,1994,Bipolar disorder,153.42442190384617,European Region,Average
65,1995,Bipolar disorder,153.41693313461536,European Region,Average
66,1996,Bipolar disorder,153.43845259615384,European Region,Average
67,1997,Bipolar disorder,153.4415475,European Region,Average
68,1998,Bipolar disorder,153.45939215384615,European Region,Average
69,1999,Bipolar disorder,153.44841682692305,European Region,Average
70,2000,Bipolar disorder,153.46789998076923,European Region,Average
71,2001,Bipolar disorder,153.4999423653846,European Region,Average
72,2002,Bipolar disorder,153.54807151923077,European Region,Average
73,2003,Bipolar disorder,153.63430471153845,European Region,Average
74,2004,Bipolar disorder,153.68981628846154,European Region,Average
75,2005,Bipolar disorder,153.70250626923078,European Region,Average
76,2006,Bipolar disorder,153.68586523076922,European Region,Average
77,2007,Bipolar disorder,153.70653121153848,European Region,Average
78,2008,Bipolar disorder,153.72331478846155,European Region,Average
79,2009,Bipolar disorder,153.7647596153846,European Region,Average
80,2010,Bipolar disorder,153.78869398076924,European Region,Average
81,2011,Bipolar disorder,153.81089688461535,European Region,Average
82,2012,Bipolar disorder,153.82940692307693,European Region,Average
83,2013,Bipolar disorder,153.85656238461536,European Region,Average
84,2014,Bipolar disorder,153.88588830769228,European Region,Average
85,2015,Bipolar disorder,153.90195653846152,European Region,Average
86,2016,Bipolar disorder,153.81942750000002,European Region,Average
87,2017,Bipolar disorder,153.815672,European Region,Average
88,2018,Bipolar disorder,153.7903913653846,European Region,Average
89,2019,Bipolar disorder,153.76617951923075,European Region,Average
90,1990,Eating disorders,56.05445886538462,European Region,Average
91,1991,Eating disorders,55.98117298076923,European Region,Average
92,1992,Eating disorders,55.96193417307692,European Region,Average
93,1993,Eating disorders,56.00010615384615,European Region,Average
94,1994,Eating disorders,56.06547011538461,European Region,Average
95,1995,Eating disorders,56.15696132692308,European Region,Average
96,1996,Eating disorders,56.33464682692307,European Region,Average
97,1997,Eating disorders,56.56153878846155,European Region,Average
98,1998,Eating disorders,56.83865211538461,European Region,Average
99,1999,Eating disorders,57.177926096153854,European Region,Average
100,2000,Eating disorders,57.56080992307693,European Region,Average
101,2001,Eating disorders,58.06661130769232,European Region,Average
102,2002,Eating disorders,58.71146700961538,European Region,Average
103,2003,Eating disorders,59.401992673076926,European Region,Average
104,2004,Eating disorders,60.05975082692308,European Region,Average
105,2005,Eating disorders,60.62158834615385,European Region,Average
106,2006,Eating disorders,61.13866609615385,European Region,Average
107,2007,Eating disorders,61.67833207692308,European Region,Average
108,2008,Eating disorders,62.240206596153854,European Region,Average
109,2009,Eating disorders,62.77020932692308,European Region,Average
110,2010,Eating disorders,63.21154771153845,European Region,Average
111,2011,Eating disorders,63.58367242307692,European Region,Average
112,2012,Eating disorders,63.91603751923076,European Region,Average
113,2013,Eating disorders,64.22555392307693,European Region,Average
114,2014,Eating disorders,64.53380467307693,European Region,Average
115,2015,Eating disorders,64.8294426923077,European Region,Average
116,2016,Eating disorders,65.3677456153846,European Region,Average
117,2017,Eating disorders,65.8737103076923,European Region,Average
118,2018,Eating disorders,66.2114953076923,European Region,Average
119,2019,Eating disorders,66.57536175,European Region,Average
120,1990,Anxiety disorders,411.0491271153846,European Region,Average
121,1991,Anxiety disorders,411.3833975000001,European Region,Average
122,1992,Anxiety disorders,411.6287505769232,European Region,Average
123,1993,Anxiety disorders,411.79110846153856,European Region,Average
124,1994,Anxiety disorders,411.8238311538461,European Region,Average
125,1995,Anxiety disorders,411.8160148076922,European Region,Average
126,1996,Anxiety disorders,411.3174767307692,European Region,Average
127,1997,Anxiety disorders,410.3269286538461,European Region,Average
128,1998,Anxiety disorders,409.2601830769232,European Region,Average
129,1999,Anxiety disorders,408.299283076923,European Region,Average
130,2000,Anxiety disorders,407.8956028846154,European Region,Average
131,2001,Anxiety disorders,407.9165146153846,European Region,Average
132,2002,Anxiety disorders,407.9660817307692,European Region,Average
133,2003,Anxiety disorders,408.0575190384615,European Region,Average
134,2004,Anxiety disorders,408.2386009615384,European Region,Average
135,2005,Anxiety disorders,408.5129555769231,European Region,Average
136,2006,Anxiety disorders,409.452395,European Region,Average
137,2007,Anxiety disorders,411.3583226923077,European Region,Average
138,2008,Anxiety disorders,413.6705069230769,European Region,Average
139,2009,Anxiety disorders,415.59191288461534,European Region,Average
140,2010,Anxiety disorders,416.6428232692307,European Region,Average
141,2011,Anxiety disorders,417.1660909615384,European Region,Average
142,2012,Anxiety disorders,417.8517598076924,European Region,Average
143,2013,Anxiety disorders,418.5390182692309,European Region,Average
144,2014,Anxiety disorders,419.0697711538461,European Region,Average
145,2015,Anxiety disorders,419.1931463461539,European Region,Average
146,2016,Anxiety disorders,418.3729723076923,European Region,Average
147,2017,Anxiety disorders,417.508063846154,European Region,Average
148,2018,Anxiety disorders,417.0777165384615,European Region,Average
149,2019,Anxiety disorders,416.42246211538463,European Region,Average
0,1990,Depressive disorders,612.183208275862,Region of the Americas,Average
1,1991,Depressive disorders,612.2074555172414,Region of the Americas,Average
2,1992,Depressive disorders,612.3998258620691,Region of the Americas,Average
3,1993,Depressive disorders,612.86837,Region of the Americas,Average
4,1994,Depressive disorders,613.4366734482758,Region of the Americas,Average
5,1995,Depressive disorders,614.266852413793,Region of the Americas,Average
